housing,job,day,qualification,month,location,online.banking,checking.account,prev.sales,year.contact,length,central.interest.rate,employment.rate,customer.satisfaction,price.index,credit.rating,age,staff_total,confidence.index,emails.month,y
no,Plumber,wed,highschool.certificate,nov,Inner.city,inactive,yes,0,3,198,1.555,-3.6,Satisfactory,106.0592,satisfactory,59,15054,112.79,1,no
yes,Lawyer,fri,other,may,Inner.city,inactive,yes,0,4,57,5.296,3.35,Satisfactory,109.4652,satisfactory,47,15583,95.69,1,no
no,Librarian,fri,other,oct,suburban,active,yes,0,1,255,2.536,-3.8,Satisfactory,106.5848,poor,36,15012,119.59,1,yes
yes,Driver,wed,doctorate,may,Inner.city,inactive,no,0,2,172,5.046,3.25,Satisfactory,106.5852,satisfactory,32,15600,96.74,0,no
no,Self-employed,tue,highschool.certificate,jul,suburban,inactive,no,0,3,110,5.572,3.4,Satisfactory,104.5544,satisfactory,46,15724,87.97,1,no
no,Doctor,wed,Bachelour.degree,jul,Inner.city,inactive,yes,0,1,668,1.814,-3.5,Satisfactory,106.0792,excellent,34,15042,112.62,0,no
unknown,Self-employed,wed,Higher.school.certificate,jul,Inner.city,not.registered,yes,0,0,1311,5.3,3.7,Satisfactory,108.4244,satisfactory,25,15672,85.27,0,yes
yes,Gardener,tue,Bachelour.degree,aug,Inner.city,inactive,yes,0,5,1297,6.428,3.8,Satisfactory,104.3452,satisfactory,54,15604,100.2,1,no
yes,Plumber,thu,other,mar,Inner.city,inactive,yes,0,0,309,1.738,-1,High,105.6344,satisfactory,36,15292,69.75,1,no
no,Self-employed,thu,Higher.school.certificate,may,Inner.city,inactive,no,0,1,304,5.538,3.25,Satisfactory,111.4552,satisfactory,36,15645,97.94,1,no
no,Gardener,thu,Bachelour.degree,may,Inner.city,inactive,no,0,2,258,5.769,3.25,Satisfactory,110.0152,satisfactory,37,15582,99.19,0,no
yes,Lawyer,thu,other,mar,Inner.city,inactive,no,0,8,385,1.576,-1.1,Satisfactory,108.0352,satisfactory,58,15070,101.37,0,no
no,Driver,mon,highschool.certificate,jun,Inner.city,inactive,no,0,0,637,7.199,3.4,Satisfactory,110.052,satisfactory,58,15715,90.18,0,no
no,Lawyer,wed,other,jun,Inner.city,inactive,yes,0,0,855,2.295,-2.85,Satisfactory,108.1304,poor,23,15222,89.66,1,yes
yes,Self-employed,fri,TAFE,may,suburban,inactive,yes,0,2,311,2.737,-1.2,Satisfactory,108.5544,poor,41,15276,79.34,0,no
yes,Driver,thu,doctorate,aug,suburban,active,yes,0,4,588,5.869,3.8,Satisfactory,108.2652,satisfactory,46,15694,98.39,1,no
no,Lawyer,thu,other,aug,suburban,active,yes,0,2,151,5.693,3.4,Satisfactory,106.4152,poor,32,15706,97.07,0,no
no,Lawyer,thu,other,jul,suburban,active,yes,0,2,178,5.193,2.95,Satisfactory,108.7752,satisfactory,54,15560,98.77,0,no
yes,Gardener,mon,Bachelour.degree,may,Inner.city,inactive,no,0,3,1344,5.64,3.05,Satisfactory,102.7052,satisfactory,36,15606,98.81,0,yes
yes,Lawyer,mon,other,sep,Inner.city,inactive,yes,1,4,614,1.44,-3.6,Low,107.7832,excellent,46,15022,111.21,1,yes
no,Self-employed,wed,Bachelour.degree,may,Inner.city,inactive,no,0,3,156,6.366,2.95,Satisfactory,108.0452,satisfactory,38,15567,97.54,0,no
no,Chef,fri,Bachelour.degree,nov,Inner.city,inactive,yes,0,2,421,2.35,-2.95,Satisfactory,108.0308,poor,25,15165,111.79,0,no
no,Driver,wed,doctorate,oct,Inner.city,inactive,no,0,2,140,5.293,1.35,Satisfactory,106.8984,satisfactory,57,15552,88.42,1,no
no,Driver,wed,Bachelour.degree,aug,suburban,inactive,yes,0,4,1880,6.212,3.6,Satisfactory,107.9052,poor,28,15706,97.19,1,yes
yes,Gardener,thu,other,may,Inner.city,inactive,yes,0,2,355,1.778,-1.4,Satisfactory,108.8744,poor,28,15296,74.5,0,no
no,Lawyer,fri,TAFE,jul,Inner.city,active,yes,0,1,570,5.981,3.8,Satisfactory,110.2744,satisfactory,46,15664,88.1,1,no
yes,Lawyer,tue,other,may,Inner.city,inactive,no,0,2,321,6.432,3.15,Satisfactory,107.6452,poor,52,15525,101.87,0,no
no,Self-employed,wed,Higher.school.certificate,nov,suburban,active,yes,0,3,185,5.461,1.45,Satisfactory,107.14,satisfactory,36,15595,85.66,1,no
no,Self-employed,thu,highschool.certificate,jun,suburban,inactive,no,0,3,241,5.69,3.6,Satisfactory,108.232,satisfactory,51,15703,86.3,0,no
yes,Driver,tue,doctorate,aug,suburban,inactive,yes,0,3,1379,5.568,3.5,Satisfactory,111.3252,satisfactory,34,15667,98.55,1,yes
yes,Self-employed,thu,Higher.school.certificate,jun,Inner.city,inactive,no,0,2,145,5.892,3.8,Satisfactory,106.212,poor,25,15654,89.51,1,no
no,Lawyer,mon,other,jun,Inner.city,inactive,no,0,7,160,6.226,3.6,Satisfactory,110.732,satisfactory,51,15674,86.98,1,no
no,Lawyer,mon,Bachelour.degree,may,suburban,inactive,yes,0,2,1416,2.408,-1.3,Satisfactory,104.5944,satisfactory,38,15267,77.99,1,yes
unknown,Self-employed,mon,Higher.school.certificate,may,suburban,not.registered,yes,0,4,394,3.104,-1,High,109.6144,satisfactory,39,15274,78.2,2,no
no,Lawyer,mon,Bachelour.degree,jun,Inner.city,inactive,no,0,2,476,5.671,3.8,Satisfactory,107.362,poor,42,15654,87.56,1,no
no,Lawyer,tue,other,jul,Inner.city,inactive,yes,0,1,341,6.474,3.6,Satisfactory,108.9144,satisfactory,44,15671,81.4,1,no
yes,Plumber,wed,other,aug,suburban,active,yes,0,2,1801,6.126,3.5,Satisfactory,108.7752,satisfactory,42,15683,102.83,0,no
yes,Lawyer,wed,Bachelour.degree,jul,Inner.city,inactive,yes,0,1,388,6.102,3.8,Satisfactory,106.2244,poor,51,15643,84.58,1,no
unknown,Lawyer,mon,other,jul,suburban,not.registered,yes,0,5,295,6.765,3.4,Satisfactory,109.1444,excellent,54,15669,87.36,1,no
yes,Electrician,thu,other,aug,Inner.city,inactive,yes,0,0,330,6.627,3.7,Satisfactory,108.8952,satisfactory,40,15677,99.36,1,no
no,Driver,fri,doctorate,may,Inner.city,inactive,no,0,0,151,6.507,3.15,Satisfactory,111.1952,satisfactory,52,15581,98.94,0,no
yes,Driver,thu,other,aug,Inner.city,inactive,yes,0,13,15,5.689,3.6,Satisfactory,110.9952,poor,31,15708,100.06,0,no
yes,Other,fri,other,sep,Inner.city,active,yes,0,2,171,2.347,-3.7,High,110.7132,poor,40,15058,112.61,2,no
yes,Gardener,wed,Bachelour.degree,may,suburban,inactive,no,0,1,299,5.893,3.05,Satisfactory,106.7352,satisfactory,49,15523,97.11,0,no
yes,Chef,fri,other,apr,Inner.city,inactive,yes,0,2,36,2.546,-1.4,Satisfactory,111.73,poor,19,15228,74.06,1,no
no,Plumber,thu,other,oct,Inner.city,inactive,yes,0,2,1294,1.72,-3.5,High,103.9248,poor,36,15050,117.19,2,yes
no,Self-employed,mon,Higher.school.certificate,may,Inner.city,inactive,no,0,3,631,5.984,3.05,Satisfactory,108.2852,poor,35,15587,99.27,0,no
no,Self-employed,tue,Higher.school.certificate,apr,Inner.city,inactive,yes,0,0,301,2.922,-1.2,Satisfactory,102.64,poor,35,15322,73.26,0,no
yes,Self-employed,fri,Higher.school.certificate,may,suburban,inactive,yes,0,6,491,2.552,-1.4,Satisfactory,107.3444,poor,30,15286,78.51,1,no
yes,Lawyer,wed,other,aug,suburban,active,yes,0,2,966,5.264,3.6,Satisfactory,105.2552,satisfactory,47,15682,100.18,0,no
yes,Lawyer,thu,other,aug,Inner.city,inactive,yes,0,3,102,6.352,3.7,Satisfactory,105.3652,satisfactory,36,15666,103.24,1,no
no,Gardener,mon,Bachelour.degree,may,suburban,inactive,no,0,0,523,5.659,3.35,Satisfactory,110.3352,satisfactory,40,15561,100.74,1,no
no,Self-employed,wed,TAFE,may,Inner.city,inactive,yes,0,2,206,2.726,-1,Satisfactory,104.8844,satisfactory,27,15309,73.92,1,no
no,Lawyer,tue,other,nov,Inner.city,inactive,no,0,0,58,5.177,1.45,Satisfactory,108.23,satisfactory,53,15549,85.15,1,no
no,Electrician,wed,other,jul,suburban,active,yes,0,2,216,6.548,3.4,Satisfactory,104.7144,satisfactory,39,15687,84.97,1,no
no,Gardener,mon,Bachelour.degree,may,suburban,inactive,yes,0,1,388,1.723,-1.4,High,103.1644,satisfactory,47,15321,79.41,2,no
yes,Gardener,wed,Bachelour.degree,may,suburban,inactive,no,0,3,607,5.977,2.95,Satisfactory,111.3752,satisfactory,37,15573,100.3,1,no
yes,Plumber,thu,other,jul,suburban,inactive,yes,0,1,408,5.709,3.8,Satisfactory,107.0544,satisfactory,50,15691,87.86,0,no
no,Self-employed,fri,highschool.certificate,jul,Inner.city,inactive,yes,0,2,409,6.085,3.5,Satisfactory,102.9644,satisfactory,56,15697,86.69,1,no
yes,Self-employed,fri,doctorate,may,Inner.city,inactive,yes,0,1,143,1.775,-1,High,104.6044,satisfactory,56,15284,78.45,2,no
yes,Self-employed,mon,Higher.school.certificate,nov,Inner.city,inactive,yes,0,2,601,5.399,1.35,Satisfactory,110.23,poor,31,15642,89.06,1,no
no,Driver,fri,Higher.school.certificate,may,Inner.city,inactive,yes,0,3,331,1.894,-1.2,Satisfactory,109.7644,satisfactory,44,15319,75.43,0,no
yes,Plumber,tue,other,apr,Inner.city,inactive,yes,0,1,102,1.723,-1.1,Satisfactory,109.2,poor,24,15304,78.07,1,no
yes,Self-employed,fri,Higher.school.certificate,may,suburban,inactive,no,0,2,1616,6.165,3.35,Satisfactory,110.6352,satisfactory,33,15566,95.82,0,no
yes,Driver,tue,doctorate,mar,Inner.city,inactive,yes,0,2,473,2.254,-1,High,109.1752,excellent,46,15035,102.76,1,no
yes,Doctor,thu,Higher.school.certificate,may,Inner.city,inactive,no,0,5,540,1.794,-1.4,Satisfactory,107.6544,satisfactory,51,15307,77.77,1,yes
unknown,Librarian,tue,doctorate,nov,Inner.city,inactive,yes,0,2,537,4.612,1.15,Satisfactory,107.23,satisfactory,55,15577,81.65,1,no
no,Gardener,fri,Bachelour.degree,may,Inner.city,active,no,0,0,237,5.317,3.25,Satisfactory,103.7752,satisfactory,36,15543,97.74,0,no
yes,Doctor,mon,Bachelour.degree,aug,Inner.city,inactive,yes,0,0,280,2.069,-2.65,Satisfactory,106.0008,satisfactory,49,15234,110.03,1,no
yes,Gardener,mon,other,may,Inner.city,inactive,yes,0,2,198,1.671,-1.1,High,104.5244,satisfactory,39,15297,76.81,1,no
no,Driver,tue,highschool.certificate,may,suburban,inactive,no,0,1,231,5.966,3.35,Satisfactory,107.8252,satisfactory,59,15569,96.52,1,no
no,Self-employed,fri,Bachelour.degree,jun,Inner.city,inactive,no,0,2,1564,6.877,3.8,Satisfactory,104.992,satisfactory,45,15723,82.5,1,no
no,Librarian,mon,doctorate,may,Inner.city,inactive,yes,0,3,413,6.09,3.7,Satisfactory,107.7852,satisfactory,59,15687,98.13,1,no
yes,Self-employed,wed,doctorate,jun,Inner.city,inactive,yes,0,2,185,3.239,-2.65,Satisfactory,102.2704,satisfactory,32,15254,88.44,1,no
no,Gardener,thu,Bachelour.degree,nov,Inner.city,active,yes,0,2,234,4.923,1.45,Satisfactory,105.15,excellent,35,15544,88.47,0,no
no,Gardener,tue,Bachelour.degree,may,Inner.city,active,no,0,1,609,5.902,2.95,Satisfactory,105.5152,satisfactory,41,15584,97.08,0,no
no,Librarian,fri,Higher.school.certificate,oct,Inner.city,inactive,yes,0,3,316,2.168,-3.8,Satisfactory,106.2048,satisfactory,82,15052,117.01,0,no
yes,Electrician,wed,other,nov,Inner.city,active,yes,0,1,418,4.435,1.35,Satisfactory,105.25,satisfactory,32,15496,88.14,1,no
yes,Retail,wed,doctorate,jul,suburban,inactive,yes,0,5,492,7.043,3.8,Satisfactory,108.2044,excellent,43,15677,81.99,1,no
no,Plumber,wed,Higher.school.certificate,may,Inner.city,inactive,yes,0,2,125,1.876,-1.1,High,106.3444,satisfactory,38,15294,72.6,1,no
yes,Doctor,tue,highschool.certificate,nov,Inner.city,inactive,yes,0,4,334,5.041,1.45,Satisfactory,107.78,satisfactory,45,15584,87.56,1,no
yes,Self-employed,thu,Higher.school.certificate,may,suburban,inactive,yes,0,8,80,3.306,-1,Satisfactory,106.7044,poor,20,15289,76.81,0,no
no,Doctor,fri,Higher.school.certificate,jun,suburban,inactive,no,0,0,708,6.282,3.5,Satisfactory,106.692,satisfactory,47,15669,87.34,1,no
yes,Lawyer,mon,Higher.school.certificate,may,suburban,active,no,0,3,354,5.029,2.95,Satisfactory,108.9752,satisfactory,37,15559,96.73,0,no
yes,Self-employed,tue,doctorate,jul,Inner.city,inactive,no,0,14,1578,6.421,3.6,Satisfactory,104.6844,poor,30,15740,88.81,0,no
yes,Self-employed,thu,Higher.school.certificate,nov,suburban,inactive,yes,0,2,448,4.875,1.45,Satisfactory,109.04,satisfactory,38,15568,83.49,0,no
yes,Librarian,wed,highschool.certificate,apr,Inner.city,inactive,yes,0,0,978,2.465,-1.4,Satisfactory,106.0692,excellent,67,15032,101.81,1,yes
yes,Librarian,thu,unknown,jul,suburban,inactive,yes,0,2,355,6.031,3.4,Satisfactory,107.1844,satisfactory,55,15740,85.96,1,no
yes,Academic,tue,Higher.school.certificate,aug,Inner.city,inactive,yes,0,4,272,5.711,3.7,Satisfactory,110.3152,satisfactory,46,15760,102.43,1,no
yes,Self-employed,wed,Higher.school.certificate,jul,Inner.city,inactive,yes,0,1,100,5.977,3.5,Satisfactory,108.7544,poor,26,15706,84.18,1,no
no,Retail,mon,Higher.school.certificate,jun,Inner.city,inactive,no,0,3,298,6.403,3.6,Satisfactory,109.052,satisfactory,30,15674,82.45,0,no
yes,Lawyer,fri,Bachelour.degree,mar,Inner.city,inactive,yes,0,1,1027,1.553,-1.3,High,111.8852,poor,24,14967,101.35,1,no
unknown,Self-employed,tue,Higher.school.certificate,jul,Inner.city,not.registered,no,0,3,237,5.413,3.7,Satisfactory,105.5644,satisfactory,37,15641,84.47,0,no
no,Plumber,thu,doctorate,jul,Inner.city,inactive,yes,0,2,321,5.967,3.8,Satisfactory,109.6544,satisfactory,53,15710,83.66,0,no
no,Plumber,thu,other,aug,Inner.city,inactive,no,0,2,308,6.497,3.05,Satisfactory,107.8552,satisfactory,31,15633,98.49,0,no
yes,Gardener,mon,Bachelour.degree,apr,Inner.city,active,yes,0,1,272,1.951,-1.1,Satisfactory,111.06,excellent,47,15281,75.72,0,no
no,Gardener,mon,Bachelour.degree,jul,Inner.city,inactive,yes,0,0,1129,5.464,3.6,Satisfactory,109.4944,satisfactory,43,15704,85.95,0,yes
no,Gardener,tue,Bachelour.degree,may,Inner.city,inactive,no,0,4,123,6.175,3.15,Satisfactory,105.9152,poor,26,15616,100.78,1,no
yes,Lawyer,fri,other,apr,Inner.city,inactive,yes,0,3,819,2.379,-1,Satisfactory,108.36,poor,32,15271,77.46,1,no
yes,Driver,fri,doctorate,may,suburban,inactive,yes,0,2,67,2.878,-1.2,Satisfactory,106.1144,satisfactory,30,15252,78.16,1,no
yes,Gardener,thu,Bachelour.degree,may,Inner.city,inactive,yes,0,0,419,2.75,-1.3,Satisfactory,107.2344,satisfactory,45,15318,76,0,no
unknown,Driver,wed,doctorate,jun,Inner.city,not.registered,no,0,2,59,6.427,3.6,Satisfactory,107.492,satisfactory,43,15716,88.8,1,no
no,Lawyer,wed,Bachelour.degree,may,Inner.city,inactive,yes,0,0,136,2.17,-1.4,High,106.0144,satisfactory,39,15307,74.21,1,no
yes,Lawyer,tue,Higher.school.certificate,may,Inner.city,inactive,yes,0,1,658,2.582,-1.2,Satisfactory,108.4544,poor,35,15293,78.03,1,yes
no,Gardener,fri,Bachelour.degree,aug,Inner.city,inactive,yes,0,0,770,6.793,3.6,Satisfactory,106.7852,satisfactory,46,15639,100.66,1,no
no,Gardener,fri,Bachelour.degree,may,Inner.city,inactive,no,0,4,293,5.688,3.05,Satisfactory,110.9452,poor,28,15567,97.38,0,no
yes,Self-employed,wed,Higher.school.certificate,may,Inner.city,inactive,no,0,4,148,6.165,3.25,Satisfactory,107.9452,satisfactory,43,15617,100.82,0,no
yes,Librarian,fri,unknown,sep,Inner.city,inactive,yes,0,1,769,1.197,-3.6,Satisfactory,106.6532,satisfactory,86,15042,113.45,1,no
yes,Gardener,wed,TAFE,may,Inner.city,inactive,no,0,1,451,6.598,3.35,Satisfactory,103.8952,excellent,28,15531,99.87,0,no
yes,Gardener,tue,Bachelour.degree,nov,Inner.city,inactive,yes,0,1,162,4.6,1.35,Satisfactory,104.7,satisfactory,50,15630,86.48,1,no
no,Self-employed,fri,Higher.school.certificate,may,suburban,inactive,yes,0,1,252,5.654,3.8,Satisfactory,104.9544,satisfactory,60,15651,84.49,0,no
yes,Self-employed,thu,highschool.certificate,may,Inner.city,inactive,yes,0,2,551,1.367,-1.3,High,109.3744,poor,34,15260,78.24,2,no
no,Plumber,mon,Higher.school.certificate,may,suburban,inactive,no,0,5,389,5.896,3.25,Satisfactory,109.7352,satisfactory,45,15617,97.07,0,no
yes,Driver,tue,other,aug,Inner.city,inactive,yes,0,1,84,5.313,3.7,Satisfactory,107.8752,satisfactory,48,15680,94.96,1,no
no,Chef,fri,Bachelour.degree,jun,Inner.city,inactive,no,0,2,212,6.043,3.4,Satisfactory,108.262,satisfactory,38,15683,89.42,0,no
yes,Driver,wed,doctorate,may,Inner.city,inactive,yes,0,3,1063,6.596,3.5,Low,108.8452,poor,34,15656,95.61,1,no
yes,Doctor,mon,Bachelour.degree,may,Inner.city,active,yes,0,2,203,2.261,-1.4,Satisfactory,108.0844,satisfactory,38,15309,80.22,1,no
no,Lawyer,wed,Higher.school.certificate,nov,Inner.city,inactive,no,0,1,345,6.707,3.4,Satisfactory,108.612,satisfactory,26,15674,88.18,0,no
no,Lawyer,thu,other,jul,Inner.city,active,yes,0,2,1425,5.951,3.5,Satisfactory,105.0244,poor,32,15700,85.34,1,yes
yes,Self-employed,tue,highschool.certificate,aug,suburban,inactive,yes,0,0,1109,6.102,3.5,Satisfactory,107.4352,satisfactory,53,15667,101.03,0,no
yes,Driver,tue,TAFE,may,Inner.city,inactive,no,0,1,970,5.901,3.15,Satisfactory,105.9552,satisfactory,55,15575,98.63,0,no
no,Self-employed,tue,TAFE,aug,Inner.city,inactive,yes,0,1,546,5.853,3.8,Satisfactory,106.9552,satisfactory,47,15703,98.16,1,no
yes,Driver,tue,Bachelour.degree,may,Inner.city,inactive,yes,0,0,3537,2.347,-1.4,Satisfactory,106.0544,poor,29,15337,76.4,0,yes
no,Lawyer,fri,Bachelour.degree,may,Inner.city,inactive,yes,0,2,210,2.185,-1.4,Satisfactory,107.0044,satisfactory,55,15308,77.64,1,no
yes,Self-employed,fri,Bachelour.degree,may,Inner.city,inactive,yes,0,1,1942,2.35,-1.4,Low,105.3744,satisfactory,45,15276,78.38,1,yes
yes,Driver,mon,doctorate,may,Inner.city,inactive,no,0,7,303,5.198,2.95,Satisfactory,107.0152,poor,40,15617,97.3,1,no
yes,Self-employed,tue,doctorate,mar,Inner.city,inactive,yes,0,0,186,3.571,-1.3,Satisfactory,106.8544,poor,34,15300,70.98,0,no
yes,Retail,mon,Bachelour.degree,mar,Inner.city,inactive,yes,1,2,948,1.091,-1,Low,105.8652,satisfactory,24,15034,103.83,2,yes
yes,Gardener,thu,other,nov,suburban,inactive,yes,0,3,1076,5.574,1.55,Satisfactory,108.05,poor,41,15635,88,1,no
no,Chef,thu,unknown,may,Inner.city,inactive,yes,0,5,1252,1.708,-1.1,Satisfactory,110.9244,poor,33,15281,77.79,0,no
yes,Self-employed,mon,highschool.certificate,jun,suburban,inactive,no,0,2,152,6.407,3.6,Satisfactory,105.562,satisfactory,49,15671,86.49,1,no
yes,Gardener,tue,other,may,Inner.city,inactive,yes,0,0,835,2.033,-1.4,Satisfactory,106.1144,satisfactory,26,15270,77.45,1,yes
no,Lawyer,mon,other,may,Inner.city,inactive,yes,0,0,426,3.725,-1.2,High,107.0144,excellent,29,15293,78.39,1,no
yes,Plumber,thu,other,jul,Inner.city,inactive,no,0,0,859,5.731,3.7,Satisfactory,108.1744,satisfactory,47,15685,85.54,1,no
no,Self-employed,tue,Higher.school.certificate,jun,suburban,active,no,0,2,594,5.396,3.5,Satisfactory,106.602,satisfactory,31,15686,87.19,1,no
yes,Driver,fri,Bachelour.degree,jul,Inner.city,inactive,no,0,2,199,6.909,3.4,Satisfactory,110.2344,satisfactory,33,15704,86.05,1,no
no,Self-employed,mon,Bachelour.degree,may,Inner.city,inactive,no,0,2,690,6.37,3.35,Satisfactory,111.2852,satisfactory,32,15633,96.94,1,no
yes,Lawyer,mon,Bachelour.degree,jun,Inner.city,inactive,no,0,6,1082,5.664,3.7,Satisfactory,109.922,satisfactory,35,15708,90.26,0,no
yes,Driver,fri,other,jul,Inner.city,inactive,yes,0,0,412,5.607,3.4,Satisfactory,108.7044,satisfactory,33,15704,81.87,1,no
no,Lawyer,thu,doctorate,may,Inner.city,inactive,no,0,1,1080,5.822,2.95,Satisfactory,106.8452,poor,27,15610,100.09,1,no
yes,Self-employed,tue,Higher.school.certificate,may,Inner.city,inactive,no,0,1,279,5.712,3.15,Satisfactory,108.2052,excellent,28,15569,97.77,1,no
yes,Lawyer,wed,other,nov,suburban,inactive,yes,0,1,1437,4.858,1.15,High,106.53,excellent,39,15576,85.03,2,no
no,Plumber,wed,other,jul,Inner.city,active,yes,2,2,489,2.265,-2.75,Low,105.5452,satisfactory,56,15206,105.23,2,yes
yes,Lawyer,tue,other,jun,suburban,inactive,no,0,2,489,5.986,3.6,Satisfactory,108.362,satisfactory,42,15698,87.05,0,no
yes,Driver,wed,Bachelour.degree,aug,suburban,inactive,yes,0,1,390,3.811,3.7,Satisfactory,110.3252,satisfactory,35,15708,98.28,1,no
no,Self-employed,wed,Bachelour.degree,nov,Inner.city,inactive,yes,0,2,807,4.693,1.45,Satisfactory,104.78,poor,34,15622,87.1,1,no
yes,Self-employed,wed,Bachelour.degree,jul,suburban,inactive,no,0,4,369,5.768,3.4,Satisfactory,110.7744,satisfactory,37,15696,82.97,0,no
yes,Self-employed,fri,TAFE,apr,suburban,inactive,no,0,1,1374,5.77,3.25,Satisfactory,109.6652,satisfactory,50,15590,97.15,0,yes
no,Lawyer,thu,other,aug,Inner.city,inactive,yes,0,4,330,5.623,3.4,Satisfactory,107.5052,poor,33,15676,100.66,0,no
no,Self-employed,mon,doctorate,jun,Inner.city,inactive,no,0,1,509,5.537,3.6,Satisfactory,111.172,satisfactory,47,15687,84.82,0,no
no,Self-employed,wed,Bachelour.degree,aug,Inner.city,inactive,yes,0,10,710,6.537,3.5,Satisfactory,107.6052,satisfactory,46,15715,99.91,1,no
yes,Lawyer,fri,Bachelour.degree,may,Inner.city,inactive,no,0,0,1101,5.852,3.25,Satisfactory,106.3652,satisfactory,38,15564,95.93,0,yes
no,Gardener,fri,other,jul,Inner.city,inactive,yes,0,1,232,5.639,3.4,Satisfactory,107.6044,satisfactory,28,15707,87.18,1,no
yes,Plumber,mon,other,may,Inner.city,inactive,no,0,1,313,6.159,3.05,Satisfactory,105.7852,poor,24,15574,98.89,0,no
no,Self-employed,tue,Higher.school.certificate,may,Inner.city,inactive,yes,0,0,173,1.755,-1.4,High,106.1944,satisfactory,42,15297,79.16,1,no
yes,Lawyer,fri,Bachelour.degree,apr,Inner.city,inactive,yes,0,2,989,1.908,-0.25,High,107.5708,satisfactory,47,14949,75.9,1,yes
yes,Lawyer,fri,other,may,suburban,inactive,no,0,1,550,5.386,3.05,Satisfactory,107.0852,satisfactory,52,15617,97.67,1,no
yes,Lawyer,mon,other,nov,Inner.city,active,yes,0,0,147,4.748,1.55,Satisfactory,106.29,poor,32,15611,86.73,1,no
no,Gardener,tue,Bachelour.degree,aug,Inner.city,active,no,0,3,1304,1.508,-2.65,Satisfactory,104.5208,poor,55,15251,108.91,0,yes
no,Lawyer,thu,other,jun,Inner.city,inactive,no,0,1,54,5.78,3.7,Satisfactory,104.832,satisfactory,46,15717,88.63,1,no
yes,Self-employed,fri,TAFE,nov,suburban,active,yes,0,1,482,5.613,1.15,Satisfactory,103.47,satisfactory,40,15608,86.09,1,no
no,Lawyer,fri,Higher.school.certificate,nov,Inner.city,inactive,yes,0,0,1762,6.098,3.7,Satisfactory,108.5844,poor,29,15674,85.83,0,yes
no,Lawyer,wed,Higher.school.certificate,oct,Inner.city,inactive,yes,0,2,196,1.763,-3.5,Satisfactory,106.6048,satisfactory,54,15030,118.51,1,no
yes,Gardener,wed,TAFE,aug,Inner.city,inactive,yes,0,2,302,2.036,-1.15,Low,104.1716,excellent,43,14990,92.46,2,yes
no,Self-employed,thu,Higher.school.certificate,jun,Inner.city,inactive,no,0,3,289,5.666,3.5,Satisfactory,110.032,poor,39,15674,88.57,0,no
no,Other,mon,unknown,aug,suburban,inactive,yes,0,5,95,5.699,3.5,Satisfactory,106.0852,satisfactory,55,15697,96.04,1,no
unknown,Lawyer,thu,Bachelour.degree,jul,Inner.city,inactive,yes,0,1,623,1.675,-1.15,High,108.612,satisfactory,37,14940,88.69,1,yes
yes,Gardener,tue,other,jul,Inner.city,inactive,yes,0,2,309,6.134,3.4,Satisfactory,108.8944,satisfactory,32,15726,85.07,0,no
no,Driver,tue,doctorate,jul,Inner.city,inactive,yes,0,2,539,1.17,-1.15,High,108.932,satisfactory,49,14959,89.89,1,no
yes,Self-employed,fri,doctorate,nov,Inner.city,inactive,yes,0,3,205,5.183,1.15,Satisfactory,105.64,satisfactory,27,15577,83.9,1,no
yes,Self-employed,mon,Higher.school.certificate,jul,suburban,inactive,yes,0,4,329,6.19,3.6,Satisfactory,109.7644,satisfactory,57,15684,87.45,1,no
no,Lawyer,fri,other,jun,Inner.city,inactive,no,0,1,264,5.51,3.8,Satisfactory,109.062,poor,30,15656,89.13,1,no
no,Self-employed,mon,highschool.certificate,jul,suburban,inactive,yes,0,1,137,6.117,3.4,Satisfactory,104.3544,satisfactory,29,15725,85.47,1,no
yes,Lawyer,thu,other,oct,Inner.city,active,no,0,2,434,2.029,-3.5,Satisfactory,105.7548,poor,23,15040,120.5,0,no
yes,Chef,wed,Bachelour.degree,dec,Inner.city,inactive,no,0,2,330,1.623,-3,High,105.6304,satisfactory,30,15052,103.92,2,no
yes,Plumber,fri,other,may,Inner.city,inactive,no,0,17,65,6.425,3.25,Satisfactory,108.4352,satisfactory,30,15504,96.57,0,no
no,Driver,fri,doctorate,may,Inner.city,inactive,no,0,1,831,6.786,3.05,Satisfactory,105.8852,satisfactory,39,15592,101.51,1,no
unknown,Electrician,mon,other,jul,suburban,not.registered,no,0,0,1357,6.873,3.6,Satisfactory,106.0444,satisfactory,58,15681,84.1,0,no
yes,Self-employed,tue,Bachelour.degree,may,Inner.city,active,yes,0,5,476,2.434,-1.2,Satisfactory,104.8744,satisfactory,44,15309,78.63,0,no
yes,Driver,thu,Bachelour.degree,may,Inner.city,inactive,yes,0,0,416,1.495,-1,Satisfactory,104.4744,poor,38,15329,79.64,1,no
yes,Lawyer,fri,other,aug,Inner.city,inactive,yes,0,2,716,1.051,-2.95,Satisfactory,104.2908,satisfactory,51,15258,106.09,0,yes
yes,Gardener,mon,Bachelour.degree,may,Inner.city,inactive,yes,0,1,147,2.937,-1,Satisfactory,103.2744,poor,39,15336,79.41,1,no
yes,Self-employed,fri,other,may,Inner.city,inactive,no,0,2,533,6.891,2.95,Satisfactory,106.4952,poor,25,15565,99.38,1,no
yes,Self-employed,fri,Higher.school.certificate,jul,Inner.city,inactive,yes,0,0,422,2.003,-1.1,Satisfactory,106,satisfactory,41,15306,74.29,0,no
